,wybicie,stoploss,ryzyko
PZU,49.32,47.45,3.79%
ALLEGRO,33.14,31.47,5.04%
CDPROJEKT,117.0,112.4,3.93%
PEPCO,18.79,17.35,7.66%
MILLENNIUM,10.74,10.28,4.28%
PGE,7.236,6.986,3.45%
CCC,72.2,68.26,5.46%
ORANGEPL,8.196,7.922,3.34%
SYNEKTIK,153.5,142.5,7.17%
HANDLOWY,109.6,107.0,2.37%
BNPPPL,112.0,107.0,4.46%
TORPOL,38.35,36.3,5.35%
AUTOPARTN,26.9,26.0,3.35%
INTERCARS,578.0,543.0,6.06%
GRUPRACUJ,67.4,64.8,3.86%
HUUUGE,27.1,26.25,3.14%
ATAL,61.0,59.0,3.28%
ELEKTROTI,23.0,21.45,6.74%
SYGNITY,69.2,65.0,6.07%
COMARCH,249.0,236.0,5.22%
ENTER,72.0,67.8,5.83%
BUMECH,13.45,12.34,8.25%
ACTION,22.8,20.7,9.21%
PATENTUS,4.27,3.8,11.01%
ARCTIC,21.5,20.8,3.26%
TRAKCJA,2.86,2.73,4.55%
STALEXP,3.35,3.25,2.99%
VOTUM,45.95,44.6,2.94%
WITTCHEN,29.6,28.8,2.7%
CIGAMES,1.62,1.564,3.46%
MABION,16.45,16.1,2.13%
MOLECURE,17.8,17.12,3.82%
CREEPYJAR,570.0,541.0,5.09%
ENERGA,10.8,10.15,6.02%
GAMFACTOR,13.6,12.5,8.09%
QUERCUS,6.86,6.42,6.41%
AMICA,74.5,71.0,4.7%
COMP,78.8,75.2,4.57%
TOYA,7.75,7.46,3.74%
CREOTECH,193.0,185.0,4.15%
BOS,16.56,15.54,6.16%
UNIBEP,9.78,9.46,3.27%
STALPROD,208.5,202.0,3.12%
PCCROKITA,104.4,102.8,1.53%
MLPGROUP,76.0,73.4,3.42%
SCPFL,203.0,196.0,3.45%
OPONEO.PL,54.0,53.0,1.85%
GAMEOPS,31.9,28.1,11.91%
GRODNO,10.6,10.2,3.77%
ASTARTA,29.7,28.9,2.69%
MERCATOR,43.98,42.96,2.32%
WIELTON,8.24,7.95,3.52%
FORTE,23.5,22.9,2.55%
